code,name,base_date,confirm_date,ret,win,pos_pct,dist_to_high,dist_to_low,is_breakout,pos_zone,high_dist
sz002272,川润股份,194,197,-5.9,0,72.4,15.11,39.56,False,高位(65-85%),10-20%
sz002272,川润股份,436,439,1.16,1,85.6,6.53,38.88,False,过峰(>85%),5-10%
sz300365,恒华科技,365,368,-4.41,0,100.0,0.0,17.93,True,过峰(>85%),已突破
sz001331,胜通能源,467,470,-8.35,0,68.0,22.59,48.08,False,高位(65-85%),>20%
sz002642,荣联科技,196,199,-2.39,0,44.2,27.23,21.55,False,中位(35-65%),>20%
sz300983,尤安设计,289,292,5.63,1,84.9,4.93,27.78,False,高位(65-85%),0-5%
sz300635,中达安,401,404,0.02,1,46.1,24.32,20.76,False,中位(35-65%),>20%
sz002217,ST合力泰,46,49,3.78,1,110.5,-4.88,51.22,True,,已突破
sz300249,依米康,223,226,9.4,1,48.2,38.36,35.64,False,中位(35-65%),>20%
sz002366,融发核电,400,403,0.77,1,21.3,27.64,7.48,False,低位(20-35%),>20%
sz300931,通用电梯,152,155,0.32,1,45.2,25.94,21.38,False,中位(35-65%),>20%
sz000782,恒申新材,394,397,12.86,1,70.5,9.15,21.83,False,高位(65-85%),5-10%
sz000782,恒申新材,400,403,10.55,1,107.7,-2.44,34.01,True,,已突破
sz300410,正业科技,388,391,13.4,1,49.2,14.5,14.04,False,中位(35-65%),10-20%
sz300410,正业科技,393,396,-3.47,0,91.3,2.37,24.93,False,过峰(>85%),0-5%
sz002314,南山控股,338,341,-2.4,0,45.7,12.38,10.42,False,中位(35-65%),10-20%
sz301089,拓新药业,443,446,-2.72,0,24.5,54.64,17.74,False,低位(20-35%),>20%
sz002719,ST麦趣,347,350,-2.14,0,59.6,9.4,13.9,False,中位(35-65%),5-10%
sz002678,珠江钢琴,17,20,6.39,1,119.6,-2.33,14.21,True,,已突破
sz000639,ST西王,248,251,0.69,1,72.1,10.71,27.68,False,高位(65-85%),10-20%
sz000547,航天发展,306,309,-3.15,0,110.7,-6.5,67.27,True,,已突破
sz002496,辉丰股份,289,292,-2.7,0,95.0,1.07,20.32,False,过峰(>85%),0-5%
sz000701,厦门信达,273,276,7.13,1,25.8,46.23,16.11,False,低位(20-35%),>20%
sz300710,万隆光电,399,402,-1.22,0,73.9,12.84,36.38,False,高位(65-85%),10-20%
sz300313,天山生物,292,295,-6.2,0,65.5,22.92,43.44,False,高位(65-85%),>20%
sz002716,湖南白银,226,229,-2.48,0,94.5,2.37,40.83,False,过峰(>85%),0-5%
sz000663,永安林业,350,353,1.0,1,41.8,33.42,24.01,False,中位(35-65%),>20%
sz300211,*ST亿通,337,340,-9.33,0,51.1,24.68,25.76,False,中位(35-65%),>20%
sz002617,露笑科技,431,434,-2.63,0,54.3,19.06,22.67,False,中位(35-65%),10-20%
sz300510,金冠股份,363,366,-8.54,0,88.1,2.94,21.72,False,过峰(>85%),0-5%
sz002387,维信诺,166,169,-1.76,0,21.5,76.02,20.79,False,低位(20-35%),>20%
sz002620,*ST瑞和,102,105,0.13,1,37.0,44.0,25.85,False,中位(35-65%),>20%
sz300044,*ST赛为,332,335,-7.58,0,102.9,-1.13,40.03,True,,已突破
sz300343,联创股份,112,115,4.21,1,52.8,33.01,36.88,False,中位(35-65%),>20%
sz002806,华锋股份,353,356,-6.42,0,96.8,1.17,34.85,False,过峰(>85%),0-5%
sz300065,海兰信,438,441,3.24,1,28.2,48.2,18.91,False,低位(20-35%),>20%
sz300585,奥联电子,463,466,12.12,1,27.9,66.15,25.59,False,低位(20-35%),>20%
sz000909,*ST数源,337,340,-6.91,0,46.0,12.82,10.94,False,中位(35-65%),10-20%
sz300665,飞鹿股份,465,468,-0.79,0,46.3,32.99,28.39,False,中位(35-65%),>20%
sz300264,佳创视讯,351,354,21.71,1,99.2,0.33,43.74,False,过峰(>85%),0-5%
sz301372,科净源,159,162,0.25,1,44.3,33.9,26.95,False,中位(35-65%),>20%
sz002420,毅昌科技,226,229,0.67,1,79.8,7.95,31.37,False,高位(65-85%),5-10%
sz301228,实朴检测,422,425,5.68,1,99.5,0.3,55.1,False,过峰(>85%),0-5%
sz002157,正邦科技,365,368,-3.16,0,49.5,15.93,15.63,False,中位(35-65%),10-20%
sz002631,德尔未来,467,470,4.31,1,47.0,39.29,34.79,False,中位(35-65%),>20%
sz300300,海峡创新,174,177,-1.68,0,91.5,2.88,30.84,False,过峰(>85%),0-5%
sz002114,罗平锌电,45,48,-1.26,0,89.9,3.28,29.34,False,过峰(>85%),0-5%
sz002164,宁波东力,62,65,-2.1,0,93.3,2.83,39.27,False,过峰(>85%),0-5%
sz002164,宁波东力,127,130,20.61,1,108.9,-4.51,55.16,True,,已突破
sz002175,*ST东智,410,413,-11.94,0,19.4,88.81,21.33,False,凹底(<20%),>20%
sz300085,银之杰,20,23,-10.55,0,126.2,-16.66,80.34,True,,已突破
sz002760,凤形股份,30,33,11.63,1,96.8,0.98,29.86,False,过峰(>85%),0-5%
sz002024,ST易购,126,129,1.18,1,82.1,8.68,39.73,False,高位(65-85%),5-10%
sz002405,四维图新,44,47,-15.84,0,89.9,4.71,42.1,False,过峰(>85%),0-5%
sz002134,天津普林,275,278,-2.75,0,35.7,28.22,15.67,False,中位(35-65%),>20%
sz002134,天津普林,285,288,-0.01,0,71.0,10.16,24.83,False,高位(65-85%),10-20%
sz000516,国际医学,45,48,-14.67,0,122.8,-7.16,38.57,True,,已突破
sz002524,光正眼科,157,160,1.43,1,39.8,27.59,18.23,False,中位(35-65%),>20%
sz000558,天府文旅,69,72,-28.62,0,119.6,-9.03,55.04,True,,已突破
sz002316,亚联发展,347,350,-1.99,0,51.1,20.25,21.14,False,中位(35-65%),>20%
sz002188,中天服务,347,350,-4.12,0,69.1,12.91,28.85,False,高位(65-85%),10-20%
sz002868,绿康生化,170,173,5.71,1,111.8,-4.78,45.35,True,,已突破
sz002868,绿康生化,288,291,26.54,1,113.8,-4.77,39.41,True,,已突破
sz300131,英唐智控,237,240,-1.32,0,93.7,2.54,37.82,False,过峰(>85%),0-5%
sz300424,航新科技,356,359,-8.35,0,72.7,9.48,25.19,False,高位(65-85%),5-10%
sz300242,佳云科技,288,291,2.97,1,80.5,4.89,20.16,False,高位(65-85%),0-5%
sz002425,凯撒文化,112,115,-4.88,0,43.4,23.53,18.07,False,中位(35-65%),>20%
